s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
317.4728608,5.2456211,54.7302509,-0.1913091,0.0245109,15.9500255,-4.3756986
319.4695455,5.5717706,56.7012182,-0.1339073,0.0328046,15.3925155,-4.0741477
321.4662301,5.7703602,58.6883546,-0.0642306,0.0365439,14.8546275,-3.8142889
323.4629148,5.8228848,60.6884723,0.0131067,0.0404721,14.3327629,-3.7549000
325.4595995,5.7140888,62.6808449,0.0971447,0.0439215,13.7997605,-3.0484776
327.4562841,5.4281307,64.6660433,0.1913386,0.0508412,13.3513929,-2.3749639
329.4529688,4.9434105,66.6019575,0.3019867,0.0576536,12.9913658,-2.2161994
331.4496534,4.2445520,68.4635978,0.4161786,0.0574431,12.6461647,-1.6603415
333.4463381,3.3334991,70.2264848,0.5418525,0.0680744,12.3812409,-1.4344505
335.4430228,2.2001105,71.8497894,0.6783334,0.0722234,12.1477091,-0.0919997
337.4397074,0.8200083,73.3164905,0.8355002,0.0815220,12.1325779,-0.0919997
339.4363921,-0.7538420,74.5409767,0.9775524,0.0629500,12.1174279,2.6651524
341.4330767,-2.4766859,75.5582463,1.0952825,0.0563088,12.5489042,3.0343519
343.4297614,-4.2943439,76.3730453,1.2012388,0.0506676,13.0227602,2.7961983
345.4264461,-6.1846160,76.9885306,1.3149923,0.0632897,13.4446471,-0.3293052
347.4231307,-8.1401517,77.3647700,1.4470808,0.0656633,13.3956522,-0.1689730
349.4198154,-10.1437239,77.4826355,1.5762220,0.0633524,13.3704423,-0.5480824
351.4165000,-12.1346115,77.3486148,1.6986694,0.0600935,13.2883419,-1.3568950
353.4131847,-14.1069281,76.9726196,1.8195953,0.0593092,13.0828685,-1.7868657
355.4098693,-16.0076160,76.3695319,1.9362230,0.0585028,12.8072571,-2.1548359
357.4065540,-17.8444968,75.5406385,2.0514369,0.0541791,12.4667870,-3.4579024
359.4032387,-19.5482940,74.5372328,2.1539575,0.0537251,11.9000881,-4.4294985
361.3999233,-21.1415829,73.3518452,2.2689588,0.0597785,11.1320921,-1.3490851
363.3966080,-22.5730220,71.9741225,2.4160708,0.0904788,10.8874276,-0.0794391
365.3932926,-23.7426927,70.3589900,2.6167437,0.1014597,10.8728492,-0.0737028
367.3899773,-24.5641673,68.5344007,2.8211310,0.1017600,10.8593060,-0.0737028
369.3866620,-25.0058089,66.5859655,3.0129256,0.0918268,10.8457459,1.1248734
371.3833466,-25.0890999,64.6025762,-3.1066945,0.0642149,11.0508932,4.0816062
373.3800313,-24.9219308,62.6257440,-3.0181991,0.0374659,11.7652710,5.2134865
375.3767159,-24.5935181,60.6500737,-2.9322771,0.0472296,12.6190720,4.3795812
377.3734006,-24.0852109,58.7168496,-2.8361917,0.0495621,13.2939935,2.3567155
379.3700853,-23.3818479,56.8365828,-2.7298575,0.0501581,13.6433683,-1.6436051
381.3667699,-22.5077705,55.0462341,-2.6529300,0.0263087,13.4006707,-7.0762889
383.3634546,-21.5440027,53.2960484,-2.6371814,-0.0130934,12.3012089,-4.7963281
385.3601392,-20.6319852,51.5318099,-2.7059148,-0.0551296,11.4963573,-1.5262336
387.3568239,-19.9124542,49.6742600,-2.8477550,-0.0837030,11.2281529,-0.7616968
389.3535086,-19.4924834,47.7189588,-3.0072955,-0.0732402,11.0918745,-2.8033665
391.3501932,-19.3711736,45.7062979,3.1262667,-0.0747552,10.5751975,-2.8585337
393.3468779,-19.5440846,43.7125319,2.9878274,-0.0630261,10.0209591,-2.4736254
395.3435625,-19.9830861,41.7634320,2.8359874,-0.1058405,9.5153309,-0.0564476
397.3402472,-20.8009806,39.9798929,2.5761504,-0.1328667,9.5034786,-0.0564476
399.3369319,-22.0616670,38.4333462,2.3525662,-0.0929717,9.4916116,3.5678090
401.3336165,-23.5773862,37.1717826,2.1833422,-0.0749429,10.2146106,4.1153790
403.3303012,-25.2711220,36.1357309,2.0697720,-0.0361818,10.9896541,5.2245172
405.3269858,-27.0766138,35.2094902,2.0306512,-0.0027937,11.9010892,-4.2753476
407.3236705,-28.8621809,34.3004585,2.0667731,0.0394903,11.1607743,-4.9747997
409.3203551,-30.5816900,33.2463390,2.1838981,0.0677255,10.2321391,-4.1331923
411.3170398,-32.1062403,31.9998108,2.3353086,0.0898266,9.3910227,-0.3781851
413.3137245,-33.3885319,30.4754989,2.5644521,0.1347006,9.3102671,-0.0923722
415.3104091,-34.2397626,28.6736216,2.8333576,0.1324002,9.2904358,-0.0538108
417.3070938,-34.5717809,26.7061006,3.1220538,0.1393772,9.2788637,-0.0538108
419.3037784,-34.3902611,24.7305253,-2.9683320,0.0511642,9.2672771,5.2463235
421.3004631,-33.9331576,22.8212680,-2.8326299,0.0836155,10.3360017,3.0003441
423.2971478,-33.1736647,20.9800126,-2.6723695,0.0744887,10.9002025,3.0754068
425.2938324,-32.1188864,19.2456681,-2.5143072,0.0824721,11.4497008,1.1063336
427.2905171,-30.8261141,17.7244295,-2.3657084,0.0657438,11.6410329,3.0061230
429.2872017,-29.3470954,16.3874403,-2.2509152,0.0505189,12.1457074,4.4553374
431.2838864,-27.7397813,15.2056323,-2.1629267,0.0377754,12.8572942,5.1966812
433.2805711,-26.0454427,14.1454397,-2.1016909,0.0234336,13.6404649,5.1837111
435.2772557,-24.3038910,13.1664362,-2.0681367,0.0114953,14.3792474,5.1707733
437.2739404,-22.5439208,12.2300667,-2.0544468,0.0021747,15.0801712,5.1578678
439.2706250,-20.7721421,11.3042963,-2.0496992,0.0030433,15.7482962,5.1449945
441.2673097,-18.9995838,10.3915153,-2.0430538,0.0026965,16.3876385,5.1321533
443.2639944,-17.2198069,9.4866273,-2.0400754,0.0002860,17.0014494,5.1193442
445.2606790,-15.4398061,8.5837600,-2.0407115,-0.0008667,17.5924050,5.1065671
447.2573637,-13.6602640,7.6772295,-2.0435963,-0.0020997,18.1627399,5.0938218
449.2540483,-11.8846515,6.7632674,-2.0491868,-0.0034979,18.7143429,5.0811084
451.2507330,-10.1160000,5.8371016,-2.0577103,-0.0050482,19.2488279,5.0684266
453.2474177,-8.3564640,4.8930894,-2.0690505,-0.0059437,19.7675864,5.0557766
455.2441023,-6.6081583,3.9283968,-2.0809965,-0.0060209,20.2718291,5.0431581
457.2407870,-4.8717110,2.9432827,-2.0924721,-0.0054387,20.7626166,5.0305711
459.2374716,-3.1458209,1.9392201,-2.1027424,-0.0048872,21.2408846,5.0180155
461.2341563,-1.4296737,0.9182588,-2.1120407,-0.0044261,21.7074634,5.0054913
463.2308409,0.2771130,-0.1176337,-2.1203751,-0.0039200,22.1630941,4.9929983
465.2275256,1.9759903,-1.1670099,-2.1276981,-0.0034168,22.6084415,4.9805365
467.2242103,3.6675562,-2.2278847,-2.1340253,-0.0029213,23.0441045,4.9681058
469.2208949,5.3530807,-3.2987180,-2.1393617,-0.0024233,23.4706249,4.9557061
471.2175796,7.0333492,-4.3776609,-2.1437042,-0.0019255,23.8884951,4.9433374
473.2142642,8.7090982,-5.4628229,-2.1470503,-0.0014265,24.2981639,-5.8622823
475.2109489,10.3825347,-6.5532696,-2.1494064,-0.0009331,23.8115625,-11.8249903
477.2076336,12.0534618,-7.6465196,-2.1507708,-0.0004262,22.7984420,-12.1034562
479.2043182,13.7228730,-8.7408006,-2.1510946,0.0001030,21.7125628,-12.0654301
481.2010029,15.3933716,-9.8354071,-2.1505048,0.0004704,20.5731297,-11.9430137
483.1976875,17.0635296,-10.9275557,-2.1492353,0.0007767,19.3793912,-11.8719704
485.1943722,18.7364185,-12.0178108,-2.1474448,0.0010152,18.1149563,-11.8074629
